Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
PMJS,--U-2135000000E745------------,135,0,22 Feb 2022,139,133,134,-1,133600,17993900,47
PMMP,--M-1805000000D222------------,464,0,22 Feb 2022,478,456,456,-8,24137600,11252043600,3345
PNBN,--M-115F100000G111------------,800,0,22 Feb 2022,820,795,815,15,7952000,6420693500,1044
PNBS,--U-1135000000G111------------,73,0,22 Feb 2022,73,71,72,-1,12357800,892363000,801
PNGO,--U-2105000000B153------------,1495,0,22 Feb 2022,1495,1495,1495,0,100,149500,1
PNIN,--U-1105000000G412------------,715,0,22 Feb 2022,715,700,700,-15,717200,509641000,72
PNLF,--M-1105000000G413------------,175,0,22 Feb 2022,175,173,173,-2,27449400,4761498400,927
PNSE,--U-2130000000E512------------,680,0,22 Feb 2022,670,665,665,-15,2300,1536500,8
POLA,--U-2100000000G211------------,131,0,22 Feb 2022,133,126,128,-3,1012600,129932800,188
POLI,--U-2105000000H111------------,1345,0,22 Feb 2022,1345,1260,1285,-60,1600,2075000,7
POLL,--U-1135000000H111------------,715,0,22 Feb 2022,740,695,705,-10,334200,237674000,239
POLU,--U-2130000000E411------------,630,0,22 Feb 2022,630,590,590,-40,55000,32702000,61
POLY,--U-2100000000E413-E----------,91,0,22 Feb 2022,95,86,88,-3,17967700,1622518000,1775
POOL,--U-2100000000G511------------,50,0,22 Feb 2022,0,0,50,0,0,0,0
PORT,--U-2135000000J113------------,620,0,22 Feb 2022,655,620,625,5,900,567000,7
POSA,--U-2100000000H111------------,50,0,22 Feb 2022,0,0,50,0,0,0,0
POWR,--M-21G5006000J411------------,640,0,22 Feb 2022,645,635,645,5,1988300,1270899500,422
PPGL,--U-3000000000K211------------,124,0,22 Feb 2022,125,123,124,0,430300,53372400,97
PPRE,--M-1135056000J211------------,171,0,22 Feb 2022,172,166,169,-2,7326600,1233134300,735
PPRO,--U-1135006000H111------------,58,0,22 Feb 2022,59,57,58,0,16627600,958192600,534
PRAS,--M-1100000000E111------------,256,0,22 Feb 2022,256,250,250,-6,380100,95408800,107
PRDA,--M-1835100000F121------------,7800,0,22 Feb 2022,7900,7700,7875,75,503600,3914037500,867
PRIM,--U-2135000000F121------------,366,0,22 Feb 2022,368,362,364,-2,1256000,457032600,293
PSAB,--U-2135000000B143------------,136,0,22 Feb 2022,149,136,143,7,66040700,9497472400,6040
PSDN,--U-2100000000D222------------,180,0,22 Feb 2022,180,174,178,-2,40700,7158400,22
PSGO,--U-2105000000D232------------,195,0,22 Feb 2022,195,190,190,-5,8395500,1614546500,721
PSKT,--U-2130000000E512------------,121,0,22 Feb 2022,123,114,117,-4,199957600,23711784200,8593
PSSI,--M-1135000000A122------------,408,0,22 Feb 2022,410,400,402,-6,3003600,1211457400,482
PTBA,--MO1XDPXL0000A121------------,2940,2940,22 Feb 2022,2970,2910,2940,0,21463000,63002334000,3225
PTDU,--U-2130000000J211------------,165,0,22 Feb 2022,167,162,164,-1,6299700,1035362000,543
PTIS,--U-1100000000A122------------,334,0,22 Feb 2022,332,316,328,-6,4000,1284400,14
PTPP,--MO1SAVVJ6000J211------------,1025,1020,22 Feb 2022,1025,990,1015,-10,23646700,23767162500,2660
PTPW,--U-2130000000J211------------,810,0,22 Feb 2022,810,800,810,0,244200,196529500,116
PTRO,--M-1135000000A132------------,2580,0,22 Feb 2022,2620,2500,2550,-30,783700,2013416000,556
PTSN,--M-1135000000I211------------,236,0,22 Feb 2022,238,230,238,2,1215500,284910200,447
PTSP,--U-2135000000E515------------,5350,0,22 Feb 2022,5400,5350,5400,50,200,1075000,2
PUDP,--U-1100000000H111------------,324,0,22 Feb 2022,332,318,322,-2,3300,1056200,14
PURA,--U-2130000000K211------------,50,0,22 Feb 2022,51,50,50,0,36326800,1820961000,630
PURE,--U-1100000000B146------------,74,0,22 Feb 2022,92,74,87,13,188400900,16440707700,11318
PURI,--U-2130000000H111------------,384,0,22 Feb 2022,390,384,390,6,2100,811000,9
PWON,--M-1M3EMH0000H111------------,458,0,22 Feb 2022,458,448,450,-8,31577300,14256696800,2700
PYFA,--U-2100000000F211------------,1000,0,22 Feb 2022,1005,995,1005,5,22500,22550500,24
PZZA,--U-1135000000E515------------,680,0,22 Feb 2022,680,675,680,0,13300,8981000,11
RAJA,--M-1130000000A112------------,191,0,22 Feb 2022,198,189,198,7,36512200,7108217700,7327
RALS,--M-1835446000E731------------,655,0,22 Feb 2022,655,640,650,-5,1017100,658589000,294
RANC,--M-1135000000D113------------,1525,0,22 Feb 2022,1525,1490,1525,0,42800,64888000,47
